sample_id	Trim1_R1_NoReads	Trim1_R1_NoBases	Trim1_R2_NoReads	Trim1_R2_NoBases	Trim2_R1_NoReads	Trim2_R1_NoBases	Trim2_R2_NoReads	Trim2_R2_NoBases
Mcapitata_HTHC_TP11_1270	21354359	2874583584	21354359	2874227800	21354191	2874563890	21354191	2872879897
Mcapitata_HTHC_TP11_2511	20453653	2903284921	20453653	2901784213	20453504	2903265598	20453504	2900262973
Mcapitata_HTHC_TP12_1140	21392742	2863085954	21392742	2862313808	21392583	2863066401	21392583	2860817694
Mcapitata_HTHC_TP12_1274	20139124	2844803844	20139124	2843289489	20139032	2844791656	20139032	2842019976
Mcapitata_HTHC_TP12_2190	19614878	2651648697	19614878	2651074314	19614717	2651630734	19614717	2649816208
Mcapitata_HTHC_TP1_1145	20012046	2739746282	20012046	2738871419	20011891	2739728219	20011891	2737575048
Mcapitata_HTHC_TP1_1323	16484374	2279698784	16484374	2287533361	16484346	2279695005	16484346	2286592483
Mcapitata_HTHC_TP1_2081	15170149	2068457571	15170149	2077347198	15170121	2068453721	15170121	2076194197
Mcapitata_HTHC_TP3_1128	13684056	1865554439	13684056	1872112233	13684045	1865552838	13684045	1871454094
Mcapitata_HTHC_TP3_1277	21522795	2906283822	21522795	2905380081	21522663	2906269492	21522663	2904042208
Mcapitata_HTHC_TP3_2518	16279538	2182203182	16279538	2206975136	16274155	2181476005	16274155	2186189186
Mcapitata_HTHC_TP4_1124	23738960	3163027630	23738960	3162028381	23738795	3163009117	23738795	3160541933
Mcapitata_HTHC_TP4_1328	18561157	2517910808	18561157	2517234418	18561057	2517898796	18561057	2516137606
Mcapitata_HTHC_TP4_2204	19414995	2689389218	19414995	2697331031	19414966	2689385570	19414966	2696259759
Mcapitata_HTHC_TP5_1345	16874041	2235482584	16874041	2258626072	16866916	2234580120	16866916	2240093405
Mcapitata_HTHC_TP5_1449	18094470	2438106322	18094470	2437669122	18094321	2438088476	18094321	2436580250
Mcapitata_HTHC_TP5_1694	17141966	2307992603	17141966	2307621878	17141851	2307978105	17141851	2306591613
Mcapitata_HTHC_TP6_1164	12756978	1756504459	12756978	1780817183	12748856	1755373153	12748856	1749391955
Mcapitata_HTHC_TP6_1317	13680539	1892859378	13680539	1898323206	13680529	1892858211	13680529	1897680171
Mcapitata_HTHC_TP6_1604	23702946	3381866932	23702946	3379912393	23702776	3381844554	23702776	3378269671
Mcapitata_HTHC_TP7_1126	17362256	2395670530	17362256	2403345638	17362247	2395669342	17362247	2402542961
Mcapitata_HTHC_TP7_1250	18166424	2527641117	18166424	2535896497	18166388	2527636462	18166388	2534738234
Mcapitata_HTHC_TP7_2419	23163612	3137968263	23163612	3137087147	23163434	3137945938	23163434	3135728649
Mcapitata_HTHC_TP8_1082	19178002	2595164328	19178002	2594606364	19177830	2595143909	19177830	2593409084
Mcapitata_HTHC_TP8_1246	10676197	1468885765	10676197	1490216145	10668848	1467865821	10668848	1460776487
Mcapitata_HTHC_TP8_2067	23117913	3271665262	23117913	3269665188	23117744	3271643185	23117744	3268115919
Mcapitata_HTHC_TP9_1078	23908593	3199596170	23908593	3198820571	23908426	3199574275	23908426	3197347117
Mcapitata_HTHC_TP9_1331	16494897	2227972745	16494897	2250700855	16487981	2227039055	16487981	2228449920
Mcapitata_HTHC_TP9_2009	21743239	2920843961	21743239	2920043245	21743044	2920822016	21743044	2918652298
Pacuta_ATAC_TP10_1159	17312774	2322399519	17312774	2348128784	17306027	2321509502	17306027	2325319572
Pacuta_ATAC_TP10_1559	17385466	2295524967	17385466	2317272638	17380954	2294918217	17380954	2300834188
Pacuta_ATAC_TP10_1641	16447356	2149406651	16447356	2180203493	16440478	2148497863	16440478	2157543928
Pacuta_ATAC_TP11_1103	17042557	2281701912	17042557	2303656963	17030587	2280101920	17030587	2276218294
Pacuta_ATAC_TP11_1777	18670100	2509018154	18670100	2508297580	18670058	2509014510	18670058	2507197183
Pacuta_ATAC_TP11_2306	18105875	2434361179	18105875	2433672030	18105812	2434355732	18105812	2432620435
Pacuta_ATAC_TP1_1043	16417145	2267539016	16417145	2273925484	16417119	2267535866	16417119	2273038715
Pacuta_ATAC_TP1_1775	16916972	2300753942	16916972	2324331227	16908284	2299574615	16908284	2295027032
Pacuta_ATAC_TP1_2363	16600363	2186548659	16600363	2214843415	16588981	2185061426	16588981	2187792799
Pacuta_ATAC_TP3_1041	18572130	2564350128	18572130	2574255583	18572106	2564347090	18572106	2573353088
Pacuta_ATAC_TP3_1471	16809554	2261117364	16809554	2290621741	16799384	2259726099	16799384	2259430940
Pacuta_ATAC_TP3_1637	16754858	2275843679	16754858	2297620562	16748860	2275048806	16748860	2275625496
Pacuta_ATAC_TP4_1060	17913397	2338110696	17913397	2370451572	17907072	2337268004	17907072	2348513404
Pacuta_ATAC_TP4_1762	21927051	2956214076	21927051	2955643477	21926970	2956206755	21926970	2954458359
Pacuta_ATAC_TP4_2002	20627724	2792189091	20627724	2791537886	20627671	2792184344	20627671	2790338775
Pacuta_ATAC_TP5_1059	15933631	2153860736	15933631	2153322704	15933582	2153856478	15933582	2152358382
Pacuta_ATAC_TP5_1563	19507638	2635952082	19507638	2635008808	19507571	2635946038	19507571	2633906532
Pacuta_ATAC_TP5_1757	17954250	2420784366	17954250	2448336060	17946356	2419735915	17946356	2422166130
Pacuta_ATAC_TP6_1050	18360506	2558797097	18360506	2566683770	18360483	2558794173	18360483	2565730241
Pacuta_ATAC_TP6_1468	22445104	3023841250	22445104	3023146490	22445066	3023838123	22445066	3021832813
Pacuta_ATAC_TP6_1542	14008980	1960220742	14008980	1964725342	14008970	1960219509	14008970	1964076423
Pacuta_ATAC_TP7_1047	19217133	2662421244	19217133	2670390580	19217076	2662413216	19217076	2669372430
Pacuta_ATAC_TP7_1445	20581731	2763668698	20581731	2763062735	20581671	2763663445	20581671	2761835111
Pacuta_ATAC_TP7_2413	18949186	2626767480	18949186	2635143586	18949169	2626765244	18949169	2634052532
Pacuta_ATAC_TP8_1051	17069972	2323525064	17069972	2340960424	17064794	2322813964	17064794	2322674848
Pacuta_ATAC_TP8_1755	17329558	2303628978	17329558	2323320390	17324174	2302895677	17324174	2305291476
Pacuta_ATAC_TP8_2012	17271164	2170909898	17271164	2203703304	17265300	2170154694	17265300	2184322817
Pacuta_ATAC_TP9_1141	19966119	2623928566	19966119	2654385640	19959651	2623095697	19959651	2633917491
Pacuta_ATAC_TP9_1594	16228670	2192627499	16228670	2217556359	16221473	2191652382	16221473	2192556237
Pacuta_ATAC_TP9_2357	17161596	2282552390	17161596	2306583510	17154141	2281537396	17154141	2283410228
Pacuta_ATHC_TP10_1205	17205312	2234208308	17205312	2265225827	17197528	2233212975	17197528	2244300893
Pacuta_ATHC_TP10_2197	16995181	2325892618	16995181	2347091830	16989500	2325106336	16989500	2325116220
Pacuta_ATHC_TP10_2550	17865213	2409102019	17865213	2425093621	17861849	2408647940	17861849	2410370309
Pacuta_ATHC_TP11_1147	20845115	2965669532	20845115	2963939499	20845080	2965665417	20845080	2962574203
Pacuta_ATHC_TP11_2668	18523059	2487053271	18523059	2486095388	18522977	2487046679	18522977	2485036953
Pacuta_ATHC_TP11_2879	19238757	2586120493	19238757	2585410618	19238670	2586113173	19238670	2584280042
Pacuta_ATHC_TP1_1207	21047015	2858864321	21047015	2858143773	21046920	2858856163	21046920	2856881391
Pacuta_ATHC_TP1_2743	17674876	2344079591	17674876	2363824079	17669049	2343296995	17669049	2346237253
Pacuta_ATHC_TP1_2977	17089036	2346101689	17089036	2354580515	17088999	2346096376	17088999	2353695953
Pacuta_ATHC_TP3_1219	19659389	2607456249	19659389	2630519685	19652667	2606569365	19652667	2612190027
Pacuta_ATHC_TP3_2534	20098984	2868524260	20098984	2866292063	20098931	2868518850	20098931	2864979300
